Fund Holdings as of,"08-May-26"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PRY","PRYSMIAN","Industrials","Equity","11,214,599.80","2.06","11,214,599.80","73,756.00","152.05","Italy","Borsa Italiana","EUR"
"SDZ","SANDOZ GROUP AG","Health Care","Equity","8,003,858.68","1.47","8,003,858.68","109,542.00","73.07","Switzerland","SIX Swiss Exchange","CHF"
"DANSKE","DANSKE BANK","Financials","Equity","7,513,884.81","1.38","7,513,884.81","174,326.00","43.10","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","7,176,778.53","1.32","7,176,778.53","7,470.00","960.75","Switzerland","SIX Swiss Exchange","CHF"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","6,890,523.25","1.26","6,890,523.25","264,401.00","26.06","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"REP","REPSOL SA","Energy","Equity","6,514,187.40","1.19","6,514,187.40","295,428.00","22.05","Spain","Bolsa De Madrid","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","6,376,918.80","1.17","6,376,918.80","46,479.00","137.20","Spain","Bolsa De Madrid","EUR"
"AV.","AVIVA PLC","Financials","Equity","5,741,718.19","1.05","5,741,718.19","800,569.00","7.17","United Kingdom","London Stock Exchange","GBP"
"LDO","LEONARDO FINMECCANICA SPA","Industrials","Equity","5,632,780.44","1.03","5,632,780.44","105,959.00","53.16","Italy","Borsa Italiana","EUR"
"AER","AERCAP HOLDINGS NV","Industrials","Equity","5,600,509.55","1.03","5,600,509.55","43,964.00","127.39","Netherlands","New York Stock Exchange Inc.","USD"
"A5G","AIB GROUP PLC","Financials","Equity","5,382,757.38","0.99","5,382,757.38","558,030.00","9.65","Ireland","Irish Stock Exchange - All Market","EUR"
"HLMA","HALMA PLC","Information Technology","Equity","5,221,260.47","0.96","5,221,260.47","99,190.00","52.64","United Kingdom","London Stock Exchange","GBP"
"NN","NN GROUP NV","Financials","Equity","5,160,218.52","0.95","5,160,218.52","68,858.00","74.94","Netherlands","Euronext Amsterdam","EUR"
"BPE","BPER BANCA","Financials","Equity","5,134,783.93","0.94","5,134,783.93","410,717.00","12.50","Italy","Borsa Italiana","EUR"
"GEBN","GEBERIT AG","Industrials","Equity","5,096,140.09","0.93","5,096,140.09","8,902.00","572.47","Switzerland","SIX Swiss Exchange","CHF"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","4,984,409.60","0.91","4,984,409.60","19,112.00","260.80","Netherlands","Euronext Amsterdam","EUR"
